1    18    20
2    68    59
3    94    87
4    107    88
5    120    88
6    124    90
7    124    97
8    191    88
9    166    87
10    186    87
11    209    91
12    97    116
13    199    103
14    147    105
15    256    104
16    184    105
17    164    116
18    157    91
19    253    104
20    259    128
21    199    100
22    296    96
23    306    95
24    231    100
25    303    86
26    288    88
27    157    87
28    206    92
29    212    116
30    267    137
31    236    88
32    151    109
33    183    82
34    140    88
35    536    82
36    239    109
37    274    98
38    188    89
39    207    103
40    164    117
41    180    88
42    213    98
43    333    100
44    237    113
45    245    82
46    202    110
47    276    105
48    252    89
49    148    97
50    282    72
51    257    89
52    225    95
53    241    120
54    301    89
55    275    105
56    229    93
57    173    113
58    203    113
59    270    105
60    309    101
61    299    105
62    175    89
63    141    88
64    294    101
65    291    109
66    240    107
67    158    99
68    187    131
69    277    80
70    252    100
71    219    104
72    195    89
73    165    95
74    178    92
75    212    93
76    227    144
77    206    115
78    288    105
79    207    113
80    230    70
81    315    89
82    299    111
83    152    106
84    236    90
85    209    113
86    243    105
87    192    101
88    250    105
89    297    102
90    271    96
91    311    113
92    239    106
93    250    107
94    309    101
95    190    95
96    294    117
97    342    97
98    225    90
99    188    146
100    379    102
